sucursal_nombre,producto_marca,product_name,producto_code,clasificacion,stock_actual,inventario_ideal,producto_costo_unitario,semana,ano
BARRANQUILLA,DONSSON,DAB02570025,025 DA2570,AAA,561,565,13507.93,34,2025
BARRANQUILLA,BALDWIN,BLS00037125,125 B76,AAA,239,381,32089.86,34,2025
BARRANQUILLA,DONSSON,DAB02772025,025 DA2772,AAA,431,393,10680.97,34,2025
BARRANQUILLA,DONSSON,DAB14570025,025 DA4570A,AAA,402,406,9776.31,34,2025
BARRANQUILLA,BALDWIN,BCS00035125,125 BF988,AAA,242,289,20357.75,34,2025
BARRANQUILLA,BALDWIN,BCS00025125,125 BF1280,AAA,62,224,29779.38,34,2025
BARRANQUILLA,DONSSON,DAB14772025,025 DA4772A,AAA,254,283,9112.4,34,2025
BARRANQUILLA,DONSSON,DAB02666025,025 DA2666,AAA,232,212,11371.65,34,2025
BARRANQUILLA,BALDWIN,BLS00109125,125 BT427,AAA,106,210,21473.06,34,2025
BARRANQUILLA,BALDWIN,BCS00060125,125 BF1226,AAA,214,197,30073.82,34,2025
BARRANQUILLA,AUT*PARTS,DCE00937189,189 G937,AAA,8,230,7677.87,34,2025
BARRANQUILLA,BALDWIN,BLS10050125,125 BT223,AAA,155,178,14438.62,34,2025
BARRANQUILLA,DONSSON,DAB02547025,025 DA2547,AAA,164,168,21847.84,34,2025
BARRANQUILLA,BALDWIN,BCS10035125,125 BF788,AAA,140,165,20672.76,34,2025
BARRANQUILLA,DONSSON,DAB02612025,025 DA2612,AAA,143,163,12211.32,34,2025
BARRANQUILLA,DONSSON,DAB04570025,025 DA4570,AAA,2,206,8840.52,34,2025
BARRANQUILLA,BALDWIN,BLS00399125,125 B7451,AAA,55,167,43822.96,34,2025
BARRANQUILLA,AUT*PARTS,DAC00037189,189 DAC037,A,5,149,5473.47,34,2025
BARRANQUILLA,BALDWIN,BCS00249125,125 BF7632,AAA,131,141,27090.89,34,2025
BARRANQUILLA,RACOR USA,DCE10128138,138 2040V10,AAA,30,169,32255.81,34,2025
BARRANQUILLA,BALDWIN,BCE00046125,125 BF825,AAA,145,150,14545.21,34,2025
