product_name,producto_code,Suma de stock_actual,Suma de inventario_ideal,sucursal_nombre,clasificacion,Suma de valor_stock_actual,Suma de valor_stock_ideal,categoria_producto
DAB04968025,025 DA4968,119,14,CALI,B,1185460.15,139465.9,Filtro
DAB02738025,025 DA2738,74,21,CALI,B,450844.26,127942.29,Filtro
DCS10197189,189 GS197A1,61,9,CALI,B,810371.5800000001,119563.02,Filtro
BCS00055125,125 BF909,58,4,CALI,B,2075694.14,143151.32,Filtro
BCE00260125,125 PF10,56,7,CALI,B,807418.64,100927.33,Filtro
BLS00189125,125 B179,51,7,CALI,B,909944.04,124894.28,Filtro
DAS07801025,025 DA7801,46,6,CALI,B,1508189.12,196720.32,Filtro
BCE00734125,125 PF7928,44,4,CALI,B,2249547.52,204504.32,Filtro
DAB04783025,025 DA4783,43,9,CALI,B,513929.98,107566.74,Filtro
DCS00679189,189 GS679,35,6,CALI,B,637120.3999999999,109220.64,Filtro
DAB02688025,025 DA2688,32,9,CALI,B,1163120,327127.5,Filtro
DAB08108025,025 DA8108,31,11,CALI,B,568510.86,201729.66,Filtro
DAR02006025,025 DA2006,30,5,CALI,B,740173.5,123362.25,Filtro
DAB12547025,025 DA2547UHE,29,3,CALI,B,1141912.41,118128.87,Filtro
DAE04524025,025 DA4524,29,10,CALI,B,563430.27,194286.3,Filtro
DAE01096189,189 GA1096,28,16,CALI,B,140667.52,80381.44,Filtro
DAB02902025,025 DA2902,27,13,CALI,B,518892.21,249836.99,Filtro
DAB04788025,025 DA4788,27,15,CALI,B,306846.9,170470.5,Filtro
BLS10023125,125 BT261,26,7,CALI,B,544774.1,146669.95,Filtro
BCS00332125,125 BF7679D,25,11,CALI,B,923920.9999999999,406525.24,Filtro
BCS00348125,125 BF7746D,25,9,CALI,B,923393.5,332421.66,Filtro
BHE00009125,125 PT189,25,3,CALI,B,631832,75819.84,Filtro
BLS00267125,125 B7125,25,9,CALI,B,850162.5,306058.5,Filtro
DAB08037025,025 DA8037,25,4,CALI,B,761588,121854.08,Filtro
DAE04113025,025 DA4113,25,13,CALI,B,422139.9999999999,219512.8,Filtro
BCE10471125,125 BF836,23,10,CALI,B,230607.89,100264.3,Filtro
BLS00052125,125 B227,23,4,CALI,B,342975.77,59647.96,Filtro
DAB04937025,025 DA4937,23,5,CALI,B,204232.64,44398.4,Filtro
DAR02594025,025 DA2594,23,13,CALI,B,350884.32,198325.92,Filtro
BCE00633125,125 PF7748,22,6,CALI,B,867520.2799999999,236596.44,Filtro
BCS00162125,125 BF790,22,10,CALI,B,424539.5,192972.5,Filtro
BCS10499125,125 BF7929KIT,22,3,CALI,B,4025461,548926.5,Filtro
BLS10200125,125 B7174MPG,21,3,CALI,B,2012612.91,287516.13,Filtro
DAB04547025,025 DA4547,21,9,CALI,B,211292.76,90554.04,Filtro
DAB08056025,025 DA8056,21,11,CALI,B,563682.63,295262.33,Filtro
BCE00683125,125 BF7881,20,5,CALI,B,1835987.6,458996.9,Filtro
BCS00263125,125 BF7648,20,12,CALI,B,406836.4,244101.84,Filtro
BHS10133125,125 BT8850MPG,20,6,CALI,B,2154274.4,646282.3200000001,Filtro
DAB02886025,025 DA2886,20,13,CALI,B,194057,126137.05,Filtro
DAB08031025,025 DA8031,20,7,CALI,B,327032,114461.2,Filtro
DAB09037025,025 DA9037,20,9,CALI,B,405995.6,182698.02,Filtro
DAB09185025,025 DA9185,20,15,CALI,B,285211,213908.25,Filtro
BCS00062125,125 BF5800,19,9,CALI,B,483793.2,229165.2,Filtro
BCS10661125,125 BF1204,19,3,CALI,B,1024750.94,161802.78,Filtro
BLS00294125,125 B7306,19,9,CALI,B,395906.23,187534.53,Filtro
DAR08216025,025 DA8216,19,7,CALI,B,424657.6,156452.8,Filtro
BCS00505125,125 BF7922,18,11,CALI,B,736468.2000000001,450063.9,Filtro
BLS00054125,125 B96,18,6,CALI,B,815404.5,271801.5,Filtro
DAB08133025,025 DA8133,18,3,CALI,B,878833.6199999999,146472.27,Filtro
DAR02031025,025 DA2031,18,5,CALI,B,310230,86175,Filtro
BLS00045125,125 B168,17,4,CALI,B,318032.6,74831.2,Filtro
DAB04881025,025 DA4881,17,7,CALI,B,262653.4,108151.4,Filtro
