product_name;producto_code;Suma de stock_actual;Suma de inventario_ideal;sucursal_nombre;clasificacion;Suma de valor_stock_actual;Suma de valor_stock_ideal;categoria_producto
DAB08180025;025 DA8180;146;0;CALI;C;1646547.12;0;Filtro
DAE04485025;025 DA4485;60;0;CALI;C;1340506.2;0;Filtro
DAR03485025;025 DA3485;59;1;CALI;C;1561535.3;26466.7;Filtro
DLS00457189;189 GS457;53;1;CALI;C;385581.89;7275.13;Filtro
DAB14666025;025 DA4666A;50;0;CALI;C;467538.5;0;Filtro
DAB14772025;025 DA4772A;50;0;CALI;C;379812.5;0;Filtro
DCS10168189;189 GS168A1;38;1;CALI;C;682427.94;17958.63;Filtro
DAE04190025;025 DA4190;37;2;CALI;C;872884.02;47182.92;Filtro
DAB02021025;025 DA2021;36;1;CALI;C;699991.2;19444.2;Filtro
DAB04021025;025 DA4021;36;1;CALI;C;320718.96;8908.86;Filtro
DAE01127189;189 GA1127;32;2;CALI;C;246117.76;15382.36;Filtro
BLS10021125;125 BT217;31;2;CALI;C;737500.23;47580.66;Filtro
DAB08009025;025 DA8009;31;1;CALI;C;1410264.09;45492.39;Filtro
DAR02124025;025 DA2124;31;1;CALI;C;1288384.49;41560.79;Filtro
DLS00552189;189 GS552;31;0;CALI;C;124804.76;0;Filtro
DCE00937189;189 G937;30;0;CALI;C;230336.1;0;Filtro
DLS00070189;189 GS070;30;2;CALI;C;110079;7338.6;Filtro
DLS00145189;189 GS145;30;3;CALI;C;107771.4;10777.14;Filtro
DAC00038189;189 DAC038;29;0;CALI;C;172753;0;Filtro
DAE01072189;189 GA1072;29;1;CALI;C;144496.27;4982.63;Filtro
BCE00331125;125 PF717;28;1;CALI;C;505317.68;18047.06;Filtro
BCS00080125;125 BF912;27;0;CALI;C;1502637.75;0;Filtro
BHS00066125;125 BT83910;27;0;CALI;C;611461.98;0;Filtro
DAB08199025;025 DA8199;27;1;CALI;C;590244.84;21860.92;Filtro
BCS00063125;125 BF5810;26;2;CALI;C;494290.68;38022.36;Filtro
DCS00091189;189 GS091;26;2;CALI;C;157000.22;12076.94;Filtro
DLE00948189;189 G948;26;3;CALI;C;182702;21081;Filtro
DAB08007025;025 DA8007;25;1;CALI;C;492575.75;19703.03;Filtro
DAB18137025;025 DA8137UHE;25;0;CALI;C;3107346.75;0;Filtro
DCE20129138;138 2010PM;25;2;CALI;C;667469.5;53397.56;Filtro
BCS00705125;125 BF46122;24;0;CALI;C;2938972.32;0;Filtro
DAB02025025;025 DA2025;24;1;CALI;C;530581.68;22107.57;Filtro
DAB18093025;025 DA8093UHE;24;0;CALI;C;2045666.88;0;Filtro
BCS00363125;125 BF7814;22;1;CALI;C;1164596.18;52936.19;Filtro
DAB02995025;025 DA2995;22;0;CALI;C;356988.28;0;Filtro
DCS00243189;189 GS243;22;0;CALI;C;435205.1;0;Filtro
DLS00738189;189 GS738;22;1;CALI;C;208727.64;9487.62;Filtro
BCS00440125;125 BF7677D;21;1;CALI;C;796250.91;37916.71;Filtro
BLE00026125;125 P242;21;0;CALI;C;1106794.5;0;Filtro
BLS00459125;125 B7350;21;0;CALI;C;892840.62;0;Filtro
DAE04066025;025 DA4066;21;1;CALI;C;250850.46;11945.26;Filtro
DCE00797189;189 G797;21;1;CALI;C;135171.54;6436.74;Filtro
BCE00772125;125 PF7779;20;0;CALI;C;787254.6;0;Filtro
BLE00767125;125 P7442;20;1;CALI;C;176605.8;8830.29;Filtro
DCE00128138;138 2040V2;20;0;CALI;C;580670.8;0;Filtro
DCE00991189;189 G991;20;0;CALI;C;181652.4;0;Filtro
DLS00295189;189 GS295;20;1;CALI;C;305007.6;15250.38;Filtro
BAP08109125;125 CA5450;19;0;CALI;C;2182669.08;0;Filtro
BCE00603125;125 PF7680;19;0;CALI;C;463518.11;0;Filtro
DAR02317025;025 DA2317;19;2;CALI;C;483465.45;50891.1;Filtro
DLS00658189;189 GS658;19;2;CALI;C;133715.92;14075.36;Filtro
