"External ID","Display Name"
"__export__.product_category_1","Industrias Donsson"
"__export__.product_category_885","Industrias Donsson / Lubricantes"
"__export__.product_category_886","Industrias Donsson / Lubricantes / Local"
"__export__.product_category_887","Industrias Donsson / Lubricantes / Local / Grasa"
"__export__.product_category_888","Industrias Donsson / Lubricantes / Local / Grasa / Otros Grasa"
"__export__.product_category_912","Industrias Donsson / Lubricantes / Local / Hidráulico"
"__export__.product_category_1109","Industrias Donsson / Lubricantes / Local / Hidráulico /  Dinissan Hidraulico"
"__export__.product_category_926","Industrias Donsson / Lubricantes / Local / Hidráulico / Ingelub Hidráulico"
"__export__.product_category_1104","Industrias Donsson / Lubricantes / Local / Hidráulico / Komatsu Hidráulico"
"__export__.product_category_913","Industrias Donsson / Lubricantes / Local / Hidráulico / R Y R Hidráulico"
"__export__.product_category_892","Industrias Donsson / Lubricantes / Local / Motor"
"__export__.product_category_916","Industrias Donsson / Lubricantes / Local / Motor / Arcadia Aceite Motor"
"__export__.product_category_1053","Industrias Donsson / Lubricantes / Local / Motor / Dinissan Aceite Motor"
"__export__.product_category_1087","Industrias Donsson / Lubricantes / Local / Motor / Dismacor Aceite Motor"
"__export__.product_category_925","Industrias Donsson / Lubricantes / Local / Motor / Ingelub Aceite Motor"
"__export__.product_category_1103","Industrias Donsson / Lubricantes / Local / Motor / Komatsu Aceite Motor"
"__export__.product_category_941","Industrias Donsson / Lubricantes / Local / Motor / Colfilparts Aceite Motor"
"__export__.product_category_911","Industrias Donsson / Lubricantes / Local / Motor / RyR Aceite Motor"
"__export__.product_category_893","Industrias Donsson / Lubricantes / Local / Motor / Otros Aceite Motor"
"__export__.product_category_1086","Industrias Donsson / Lubricantes / Local / Motor / Swisslub Aceite Motor"
"__export__.product_category_914","Industrias Donsson / Lubricantes / Local / Valvulina"
"__export__.product_category_917","Industrias Donsson / Lubricantes / Local / Valvulina / Lubritodo Valvulina"
"__export__.product_category_915","Industrias Donsson / Lubricantes / Local / Valvulina / Ludesa Valvulina"
"__export__.product_category_1090","Industrias Donsson / Lubricantes / Local / Valvulina / Swisslub Valvulina"
"__export__.product_category_1089","Industrias Donsson / Aceite Usado"
"__export__.product_category_990","Industrias Donsson / Aceite Usado / ADMINISTRATIVO - Usado"
"__export__.product_category_1125","Industrias Donsson / ADMINISTRATIVO - ARRIENDO VENTAS"
"__export__.product_category_974","Industrias Donsson / Consumibles"
"__export__.product_category_980","Industrias Donsson / Consumibles / Empaque y embalaje"
"__export__.product_category_981","Industrias Donsson / Consumibles / Elementos de protección personal"
"__export__.product_category_996","Industrias Donsson / Consumibles / Moldes"
"__export__.product_category_982","Industrias Donsson / Consumibles / Otros de produccion"
"__export__.product_category_975","Industrias Donsson / Consumibles / Dotación"
"__export__.product_category_977","Industrias Donsson / Consumibles / Elementos de Aseo"
"__export__.product_category_978_1","Industrias Donsson / Consumibles / Elementos de Mercadeo"
"__export__.product_category_976","Industrias Donsson / Consumibles / Papeleria"
"__export__.product_category_1095","Industrias Donsson / Descuentos Comerciales"
"__export__.product_category_1055","Industrias Donsson / Desengrasante"
"__export__.product_category_1056","Industrias Donsson / Desengrasante / Local"
"__export__.product_category_1057","Industrias Donsson / Desengrasante / Local / Desengrasante"
"__export__.product_category_1058","Industrias Donsson / Desengrasante / Local / Desengrasante / Tekquimica"
"__export__.product_category_709","Industrias Donsson / Filtros"
"__export__.product_category_1066","Industrias Donsson / Filtros / Autoparts"
"__export__.product_category_1067","Industrias Donsson / Filtros / Autoparts / Importado"
"__export__.product_category_1068","Industrias Donsson / Filtros / Autoparts / Importado / Aceite"
"__export__.product_category_789","Industrias Donsson / Filtros / Autoparts / Importado / Aceite / Autoparts Aceite Elemento"
"__export__.product_category_1062","Industrias Donsson / Filtros / Autoparts / Importado / Aceite / Autoparts Aceite Sellado"
"__export__.product_category_1069","Industrias Donsson / Filtros / Autoparts / Importado / Aire"
"__export__.product_category_790","Industrias Donsson / Filtros / Autoparts / Importado / Aire / Autoparts Aire Cuadrado"
"__export__.product_category_791","Industrias Donsson / Filtros / Autoparts / Importado / Aire / Autoparts Aire Elemento Axial"
"__export__.product_category_792","Industrias Donsson / Filtros / Autoparts / Importado / Aire / Autoparts Aire Redondo"
"__export__.product_category_1135","Industrias Donsson / Filtros / Autoparts / Importado / Aire / Autoparts Carcasa"
"__export__.product_category_1078","Industrias Donsson / Filtros / Autoparts / Importado / Combustible"
"__export__.product_category_793","Industrias Donsson / Filtros / Autoparts / Importado / Combustible / Autoparts Combustible Elemento"
"__export__.product_category_1137","Industrias Donsson / Filtros / Autoparts / Importado / Combustible / Autoparts Combustible Otros"
"__export__.product_category_794","Industrias Donsson / Filtros / Autoparts / Importado / Combustible / Autoparts Combustible Sellado"
"__export__.product_category_1122","Industrias Donsson / Filtros / Autoparts / Importado / Enfriamiento"
"__export__.product_category_1123","Industrias Donsson / Filtros / Autoparts / Importado / Enfriamiento / Autoparts Enfriamiento Sellado"
"__export__.product_category_1097","Industrias Donsson / Filtros / Autoparts / Importado / Hidráulico"
"__export__.product_category_1098","Industrias Donsson / Filtros / Autoparts / Importado / Hidráulico / Autoparts Hidráulico Elemento"
"__export__.product_category_1065","Industrias Donsson / Filtros / Baldwin"
"__export__.product_category_717","Industrias Donsson / Filtros / Baldwin / Importado"
"__export__.product_category_718","Industrias Donsson / Filtros / Baldwin / Importado / Aceite"
"__export__.product_category_719","Industrias Donsson / Filtros / Baldwin / Importado / Aceite / Baldwin Aceite Elemento"
